PPN	Signatur_PPN	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	Weitere Nummer (Typ Signatur)	Weitere Nummer (Signatur)	Weitere Nummer (Typ Verlagsnr.)	Weitere Nummer (Verlagsnr.)	Weitere Nummer (Typ UPC)	Weitere Nummer (UPC)	Weitere Nummer (Typ Matrix)	Weitere Nummer (Matrix)	Datum	"Ort"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"GND-Name"	"Rolle"	"Name"	"Bemerkung"	
121912388	R 2358 121912388	M'Bombo / Tshala Muana		"und"	Mbombo. Sitambili. Mady. Tshikombo. Mam Wenu. Kashama	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2358	Verlags-Bestellnummer	KL 056					1988	"S.l."	Eds. Kaluila	"Musik,Kongo,Populäre Musik"	2004/355				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1022346229"	"Muana, Tshala"	"Interpretation (durch)"	"Muana, Tshala"	"1958-"	
121927938	R 2365 121927938	Chagrin - Dimone / Defao de Choc Stars		"und"	Enth.: Chagrin - Dimone. Sans suite. Bebula adieu. Kitoko monument (Clesh). Mora Ndombe.	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2365	Verlags-Bestellnummer	KL 013					1988	"S.l."	Eds. Kaluila	"Musik,Kongo,Populäre Musik"	2004/327				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/103434675X,http://d-nb.info/gnd/3017839-3"	"Defao,Choc Stars (Musikgruppe)"	"Interpretation (durch),Interpretation (durch)"	"Defao,Choc Stars"	"1958-,"	
121928985	R 1857 121928985	L'intrepide Bavon Marie-Marie : a titre posthume cet album est dédié à Bavon Marie Marie / Bavon Marie-Marie & l'Orchestre Negro Succes	Edition Reveillon	"lin"	Enth.:Maseke ya Meme. Bilamba! Mbongo ya Mani?. Yalimbisa Bijou. Libanga na Libumu (1 et 2). Nadendela Mibali. Nakata Serment ya Bolingo.	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 1857	Verlags-Bestellnummer	360.023					1970	"S.l."	African	"Musik,Kongo,Populäre Musik"	2004/343			Interpr.: Bavon Marie-Marie. Orch. Negro Succes	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1071836579,http://d-nb.info/gnd/3059012-7"	"Bavon Marie-Marie,Orchestre Negro Succes"	"Interpretation (durch),Interpretation (durch)"	"Bavon Marie-Marie,Orchestre Negro Succes"	"1944-1970,"	
12192999X	R 2348 12192999X	Beatrice Adele / Soukous Gang Musika. Monsieur Jaques & Mick Jo Lusala		"und"	Enth.: Beatrice Adele. General Knowledge. Amitie Janine Odja. The Feeling	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 2348	Verlags-Bestellnummer	NP 1001					1992	"S.l."	Nubian Productions	"Musik,Kongo,Soukous,Populäre Musik"	2004/344				Veröffentlichung (musikalisches Werk)	",http://d-nb.info/gnd/107942735X,http://d-nb.info/gnd/3058910-1"	",Lusala, Mick Jo,Soukous Gang Musika"	"Interpretation (durch),Beteiligte Person/Körperschaft,Interpretation (durch)"	"Monsieur Jaques,Lusala, Mick Jo,Soukous Gang Musika"	",,"	
121930335	R 2215 121930335	Gérant / Pepe Kalle		"und"	Enth.: Gérant. Milla (version stade). Shikamo Seye - Pedro. Zonga aime. Beli Seyo. Muyenga	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 2215	Verlags-Bestellnummer	38112-1					1991	"S.l."	Syllart Production	"Musik,Kongo,Populäre Musik"	2004/328			Interpr.: Pépé Kallé	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/138677433"	"Pépé Kallé"	"Interpretation (durch)"	"Pépé Kallé"	"1951-1998"	
121930505	R 2363 121930505	Toleki bango (miles ahead) / Classic Swédé Swédé		"und"	Enth.: Nalanda te. Ekokolo. Yogo. Bipale ya nini. Kombe kombe	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2363	Verlags-Bestellnummer	CRAW 1LP					1991	"Brussels"	Crammed Discs	"Musik,Kongo,Populäre Musik"	2004/329				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/3058911-3"	"Classic Swédé Swédé"	"Interpretation (durch)"	"Classic Swédé Swédé"	""	
121930564	R 2355 121930564	Flash 7 / Miriam Makeba, Rochereau, Kallé, Jean Bokelo ...	L'Afrique danse	"und"	Enth.: Pole M'ze. Mokolo nakokufa. Moselebende too bolingo. Likala ya moto. Bana ya Lipolo. Savon Omo. Nganda ya Diallo. Mwambe no. 4 de Jean Bokelo. Camarade ya Nooki. Sekele Emonani. Retroussons les manches	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2355	Verlags-Bestellnummer	360.002					1966	"S.l."	African	"Musik,Kongo,Populäre Musik"	2004/333				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/118830783,http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/135431611,http://d-nb.info/gnd/1062802179,http://d-nb.info/gnd/3058909-5,http://d-nb.info/gnd/3020346-6,http://d-nb.info/gnd/3072366-8"	"Makeba, Miriam,Ley, Tabu,Kabasele, Joseph,Bokelo, Johnny,African Fiesta,African Jazz,Conga Succès (Musikgruppe)"	"Interpretation (durch),Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Beteiligte Person/Körperschaft,Interpretation (durch),Interpretation (durch),Interpretation (durch)"	"Makeba, Miriam,Ley, Tabu,Kabasele, Joseph,Bokelo, Johnny,African Fiesta,African Jazz,Conga Succès"	"1932-2008,1940-2013,1930-1983,193X-1995,,,"	
121946231	R 2224 121946231	Mokili ya Nzambe / Docteur Nico et son orchestre	L'Afrique danse/Editions Sukisa	"und"	Enth.: Mokili ya Nzambe. Sukisa miziki ya lokumu. Aime Zonga. Julienne importée. Mira. Adelina. Oluki likambo obangi	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 2224	Verlags-Bestellnummer	360.005 B					1969	"Paris"	African	"Musik,Kongo,Lingala,Populäre Musik"	2004/334			Interpr.: Dr. Nico & son orchestre	Veröffentlichung (musikalisches Werk)	""	""	""	""	""	
121946371	R 913 121946371	Toute l'Afrique danse / avec le Docteur Nico et son Orchestre African Fiesta		"und"	Enth.: Sukisa Liwa na Ngai. Talaka na miso. Maria Maria. Capacite ya Bolingo. Jeanine. Olga. Munka. Pergola. Sanduku Etundi. Felie	1 Schallpl. ; 33 UpM ; 30 cm	Signatur	R 913	Verlags-Bestellnummer	SAF 50.003					1975	"Paris"	Sonafric (Sonodisc)	"Musik,Kongo,Lingala,Populäre Musik"	56.938	Licence CEDDI		Interpr.: Dr. Nico. African Fiesta	Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135147484,http://d-nb.info/gnd/3058909-5"	"Nico, Docteur,African Fiesta"	"Interpretation (durch),Interpretation (durch)"	"Nico <Docteur>,African Fiesta"	"1939-1985,"	
121946584	R 2229 121946584	Vol. 1	Rochereau à Abidjan	"und"	Enth.: Papy Nitho. Ma Nono. Omona Wapi. Ebue	1 Schallpl. ; 33 UpM, stereo ; 30 cm	Signatur	R 2229	Verlags-Bestellnummer	DS 7912			Matrix-Nummer	Matrix-Nr. DF7912A;DF7912B	1980	"Kinshasa,Abidjan"	INA Productions, Disco Stock	"Musik,Kongo,Populäre Musik"	2004/339	Matrix-Nr. DF7912A;DF7912B			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/134782542,http://d-nb.info/gnd/3028408-9"	"Ley, Tabu,Afrisa International Orchestra"	"Interpretation (durch),Interpretation (durch)"	"Ley, Tabu,Afrisa International Orchestra"	"1940-2013,"	
