PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
212480219	RS 193	RS 193 212480219	Dansons avec ... / Ry-Co Jazz. Freddy ; Casino ; J. Becaud - Vogue Prod.	1963	Nkounkou, Freddy / Becaud, Justin / M'bilia, Casimir / Ry-Co Jazz	
212808680	RS 518	RS 518 212808680	Zala ata monzemba / Jojo et les Véco de Kinshasa - Sonafric	1975	Tshiamanga, José / Jojo et les Veco de Kinshasa	
212808982	RS 519	RS 519 212808982	Ngai na mabanzo / Jojo et les Véco de Kinshasa - Sonafric	1975	Lisongo, Joseph / Tshiamanga, José / Jojo et les Veco de Kinshasa	
213009498	RS 524	RS 524 213009498	Le bucheron / Franklin Boukaka. Orchestre sous la direction de Manu Dibango - Sonafric	1975	Boukaka, Franklin / Dibango, Manu	
213012499	RS 73	RS 73 213012499	Elite muzindo / Hubert Dihunga with Orchestra Negro Succès - Gramophone	1962	Dihunga, Hubert / Orchestre Negro Succes	
213161419	RS 506	RS 506 213161419	Dany - Dany / Cénthé et Son Orchestre - Sonafric	1975	Mikolele, Hyacinthe / Cénthé et Son Orchestre	
213242257	RS 477	RS 477 213242257	Orchestre City Five / Air Congo Orchestra City Five - Philips	1970	Apudo, Beni Nicolas / Air Congo Orchestra City Five	
213354764	RS 534	RS 534 213354764	Alliance des opprimés / Group'rouge de Brazzaville - Sonafric	1970	Group'rouge de Brazzaville	
21338776X	RS 540	RS 540 21338776X	Amurate / Orchestre L'International Afrisa - African	1973	Ley, Tabu / Visi, Mavatiku / Afrisa International Orchestra	
213389975	RS 541	RS 541 213389975	Mongalie / Orchestre Afrisa (L'International. Le seigneur Rochereau) - African	1972	Ley, Tabu / Afrisa International Orchestra	
21339927X	RS 542	RS 542 21339927X	Libala eponi ekolo te / Orchestre Conga de la Capitale ; Orchestre Le Grand Pizza - African	1972	Bokelo, Johnny / Conga Succès / Orchestre Le Grand Pizza	
21341578X	RS 543	RS 543 21341578X	Celio / Orchestre Zaiko Langa-Langa - African	1972	Zaïko Langa Langa	
213416468	RS 544	RS 544 213416468	Cele Fely / Orchestre Zaiko Langa-Langa - African	1972	Zaïko Langa Langa	
213417022	RS 545	RS 545 213417022	Khadi ya Mama / Orchestre Zaiko Langa-Langa - African	1972	Zaïko Langa Langa	
213488140	RS 546	RS 546 213488140	Massamba / Dilumona Dilu ; Kabassele Yampanya. Orchestre Empire des Bakuba - African	1972	Dilumona, Dilu / Kabasele, Joseph / Empire Bakuba	
213489503	RS 547	RS 547 213489503	Mokolo nini okozonga / Orchestre Vévé. Kiamwangana Mateta - African	1972	Verckys / Orchestre Veve	
21349034X	RS 548	RS 548 21349034X	La vérité blesse (1er) / Dynamite Verckys - African	1972	Verckys / Soki Vangu	
213490803	RS 549	RS 549 213490803	Lipua lipua / Orchestre Bella-Bella - African	1973	Orchestre Bella-Bella	
213491524	RS 550	RS 550 213491524	Mamisa / Orchestre Les Grands Maquisards. Kiesse - African	1973	Kiesse, Diambu / Orchestre Les Grands Maquisards	
213507943	RS 551	RS 551 213507943	Toleki mingi / Orchestre Les Grands Maquisards - African	1973	Orchestre Les Grands Maquisards	
213508370	RS 552	RS 552 213508370	Jarria 1er / Orchestre Les Grands Maquisards - African	1972	Orchestre Les Grands Maquisards	
21350989X	RS 553	RS 553 21350989X	Apollo II / Orchestre Les Festivals des Maquisards - African	1972	Orchestre Les Grands Maquisards	
213536641	RS 554	RS 554 213536641	Marie France / Orchestre Les Bakuba - African	1972	Empire Bakuba	
213537966	RS 555	RS 555 213537966	Nakoluka yo Sabina / Orchestre Les Bakuba - African	1972	Papy Tex / Kabasele, Joseph / Empire Bakuba	
213538504	RS 556	RS 556 213538504	O changer ngai position / Orchestre Les Bakuba - African	1972	Kabasele, Joseph / Empire Bakuba	
213539322	RS 557	RS 557 213539322	Poncelet nasengi y'ozonga / Orchestre Mi Amor - African	1973	Orchestre Mi Amor	
213540479	RS 558	RS 558 213540479	Zongisela ngai motema / Orchestre Vévé. Verckys - African	1973	Franco <Musiker> / Verckys / Orchestre Veve	
213541807	RS 559	RS 559 213541807	Toto wani / Orchestre Bella-Bella - African	1973	Papy Tex / Orchestre Bella-Bella	
213543192	RS 560	RS 560 213543192	Mbongo tosale laka nani / Orchestre Élégance Jazz - African	1973	Orchestre Élégance Jazz	
213544490	RS 501	RS 501 213544490	Fatou bolingo : haro yeke-yeke / Sebastien Marini. (S.M. Mouana Bankouezi). Arrgts. et dir. mus. Joe Turner - Sonafric	1975	Marini, Sebastien / Bankouezi, S. M. Mouana / Turner, Joe	
213558734	RS 561	RS 561 213558734	Esengo ya mokili / Le Groupe Dewayon Ex-Loningisa - African	1972	Groupe Dewayon	
213559447	RS 562	RS 562 213559447	Groupe Watam / Le Groupe Dewayon Ex-Loningisa - African	1972	Groupe Dewayon	
213560089	RS 563	RS 563 213560089	Sangi / Orchestre Jazz Kwilu - African	1972	Orchestre Jazz Kwilu	
21364729X	RS 564	RS 564 21364729X	Mobali - 1er - African	1972	Orchestre Negro	
21364925X	RS 565	RS 565 21364925X	Bea, omikebisa / Orchestre Continental. Serpent - African	1972	Kabamba Serpent / Orchestre Continental	
213649365	RS 566	RS 566 213649365	Pemba ya motema / Orchestre Continental. Thamar - African	1972	Malukisa, Sita Thamar / Orchestre Continental	
213652560	RS 567	RS 567 213652560	Eulalie mwana mandona / Orchestre Lovy du Zaire - African	1972	Longomba, Victor / Orchestre Lovy du Zaire	
213653613	RS 568	RS 568 213653613	Invocation / Orchestre Lovy du Zaire - African	1972	Longomba, Victor / Orchestre Lovy du Zaire	
213653850	RS 569	RS 569 213653850	Balingi basombela ngai liwa / Orchestre Lovy du Zaire - African	1972	Longomba, Victor / Orchestre Lovy du Zaire	
213654245	RS 570	RS 570 213654245	Louise keba na ngai / Orchestre Élégance Jazz - African	1972	Orchestre Élégance Jazz	
213654385	RS 571	RS 571 213654385	Tembe na mboloko / Orchestre Élégance Jazz - African	1972	Orchestre Élégance Jazz	
213655365	RS 572	RS 572 213655365	Cassius Clay / Orchestre Afrisa (L'International). Le Seigneur Rocherau - African	1972	Ley, Tabu / Afrisa International Orchestra	
213656043	RS 573	RS 573 213656043	Dansons le cha cha cha avec ... / Ry-Co Jazz. J. Becaud ; Freddy ; Casino - Vogue	1960	Becaud, Justin / Nkounkou, Freddy / M'bilia, Casimir / Ry-Co Jazz	
213675404	RS 582	RS 582 213675404	Zuke / Orchestre Sele-Sele du Zaire. Sous la direction de Thako Ley - Sonafric	1975	Ley, Thako / Orchestre Sele-Sele du Zaire	
213728524	RS 605	RS 605 213728524	Na kopesa / Billy Barrel (Ngoma Nzita) - Sonafric	1977	Barrel, Billy / Barney, Joe	
213730154	RS 606	RS 606 213730154	Lemba / Billy Barrel (Ngoma Nzita) - Sonafric	1977	Barrel, Billy / Barney, Joe	
213755505	RS 610	RS 610 213755505	Bisanza's 1 (Sao Charly) / Zaiko Langa-Langa - Sonafric	1976	Zaïko Langa Langa	
213756412	RS 611	RS 611 213756412	François Lougah au Zai͏̈re / François Lougah. Accompagné par les ... musiciens d'Abeti Masikini avec ... soliste de Tabu Ley et de Wawanko Joe͏̈ - Sonafric	1976	Lougah, François	
214270300	RS 510	RS 510 214270300	Loussialala  / Albert N'Kibi de la Poussière - Sonafric	1975	N'Kibi, Albert	
214383040	RS 647	RS 647 214383040	Nazali se mobali na yo / Dr. Nico et L'African Fiesta Sukisa - African	1970	Nico <Docteur> / African Fiesta	
214383407	RS 648	RS 648 214383407	Mass Media / Orchestre Afrisa L'International - African	1975	Ley, Tabu / Afrisa International Orchestra	
214384136	RS 653	RS 653 214384136	Chérie Bondowe / Mayaula et O.K. - ASL - Associated Sound (East Africa) Ltd./Phonogram Ltd.	1975	Mayaula Mayoni / Tout-Puissant OK Jazz	
214386058	RS 650	RS 650 214386058	A moins que namikosa / Vicky et L'Orchestre O.K. Jazz - African	1970	Longomba, Victor / Tout-Puissant OK Jazz	
21438652X	RS 651	RS 651 21438652X	Nameka motema / Orchestre African Fiesta Sukisa - African	1972	Nico <Docteur> / African Fiesta	
214387364	RS 652	RS 652 214387364	Chérie Bondowe / Orchestre Mayaula - African	1975	Mayaula Mayoni / Orchestre Mayaula	
214388484	RS 654	RS 654 214388484	Kiri kiri mabina ya sika / Orchestre African Fiesta - Decca (West Africa)	1972	Nico <Docteur> / African Fiesta	
214389391	RS 649	RS 649 214389391	Ah Ponton la belle / Orchestre African Kings - African	1975	Tshikaya, Pambou / Orchestre African Kings	
214408531	RS 658	RS 658 214408531	Journal Dipanda / Demon Casano - Phonogram (Ghana) [Lizenzausg.]	1970	Kasanaut, Démon	
214411397	RS 659	RS 659 214411397	Nakei Abidjan / Orchestre African Fiesta - Decca (West Africa)	1975	Sangana / Nico <Docteur> / African Fiesta	
214412466	RS 660	RS 660 214412466	Vidas / L'orchestre African Fiesta - Decca	1964	Farrés, Osvaldo / Nico <Docteur> / African Fiesta	
214414191	RS 661	RS 661 214414191	Nakomitunaka / Orchestre Veve - African	1972	Verckys / Orchestre Veve	
214424243	RS 662	RS 662 214424243	Chéri nini / Orchestra Rock-a-Mambo ; Orchestre Negro Band - Columbia/EMI	1957	Nico <Docteur> / Rossignol / Nezy Michaux, Demon / Boyimbo, François 'Gobi' / Rock-a-Mambo / Orchestre Negro Band	
21442605X	RS 663	RS 663 21442605X	Zaiko wawawa (part 1) / Zaiko Langa Langa - Essiebons (Ghana)	1976	Zaïko Langa Langa	
214427315	RS 664	RS 664 214427315	Ngai Lucie Betty / Djesquin et Jojo avec L'Orchestre Super-Negro - Mondule	1975	Djesquin / Jojo / Orchestre Super-Negro	
214427692	RS 665	RS 665 214427692	Mbanda zuwa / Don Piero et Jojo avec L'Orchestre Super-Negro - Mondule	1975	Don Piero / Jojo / Orchestre Super-Negro	
214428087	RS 666	RS 666 214428087	Tika na loba / Jojo avec L'Orchestre Super-Negro - Mondule	1975	Jojo / Orchestre Super-Negro	
214428591	RS 667	RS 667 214428591	Lina de mi vida / Orchestre Echo-Bantou. Cyrano ; Tejos - 	1975	Cyrano / Tejos / Orchestre Echo-Bantou	
21442992X	RS 668	RS 668 21442992X	Dansons avec ... / Ry-Co Jazz - Vogue Productions	1975	M'bilia, Casimir / Nkounkou, Freddy / Ry-Co Jazz	
214459462	RS 681	RS 681 214459462	Aminata / Abumba du Zaire - Sonodisc	1976	Masikini, Abumba / Akueson, Gérard	
214461602	RS 682	RS 682 214461602	Congo rythm / Ensemble Franco-Vicky-Essous ; De Wayon accompagné par Franco-Essous. Vicky et l'orchestre O.K. Jazz - Pathé Marconi	1975	Franco <Musiker> / Dewayon / Longomba, Victor / Essous, Jean Serge / Tout-Puissant OK Jazz	
214515354	RS 686	RS 686 214515354	Nzambe Nzambe nakokufa / Orchestre Co-Bantou - African Records	1972	Emmano / Lendo, Jim / Orchestre Cobantou	
214515885	RS 687	RS 687 214515885	Les immortels / Franklin Boukaka - Sonafric	1970	Boukaka, Franklin	
214520870	RS 691	RS 691 214520870	Ki makango mpe libala / Rochereau et L'African-Fiesta National - African Records	1970	Ley, Tabu / African Fiesta	
214529703	RS 695	RS 695 214529703	More Congo rythm / Dewayon ; Franco ; Essous ; Vicky ; Mujos. Orchestra O.K. Jazz - Gramophone - His Master's Voice	1975	Dewayon / Franco <Musiker> / Essous, Jean Serge / Longomba, Victor / Mujos / Tout-Puissant OK Jazz	
214605213	RS 696	RS 696 214605213	Vol. 1 / Orchestra O.K. Jazz. Franco ; Vicky - E.M.I.	1975	Franco <Musiker> / Longomba, Victor / Tout-Puissant OK Jazz	
214606481	RS 697	RS 697 214606481	Cha-cha-cha del Zombo / Brazzos et O.K. Jazz - Pathé Marconi - La Voix de son Maître	1972	Brazzos / Tout-Puissant OK Jazz	
214860787	RS 750	RS 750 214860787	Kanda ya nini / par Tchadé et l'Orchestre Beguen-Band - Sikilu	1975	Tchadé / Orchestre Beguen Band	
214861287	RS 749	RS 749 214861287	Yaka Mama / Par Menga André et l'Orchestre Beguen-Band - 	1975	Menga, André / Orchestre Beguen Band	
214862631	RS 747	RS 747 214862631	Ndolo iti / par Davin et l'Orchestre Beguen-Band ; par Magnol et l'Orchestre Beguen-Band - Sikilu	1975	Davin / Magnol / Orchestre Beguen Band	
214863158	RS 748	RS 748 214863158	Le super boboto  / Pie To Bota ; Liziba Lilumi Ongando - Disques Akue	1975	Pie To Bota / Ongando, Liziba Lilumi	
214878147	RS 704	RS 704 214878147	Louise okobosana Flammy / K. P. Flamy et son Orchestre Jazz Beguen - Ngoma	1965	Flammy, K.P. / K. P. Flamy et Son Orchestre Jazz Beguen	
214926109	RS 751	RS 751 214926109	Etula madite / Tchadé et son Orchestre Jazz Beguen - Ngoma Records	1963	Tchadé / Tchadé et Son Orchestre Jazz Beguen	
214926540	RS 752	RS 752 214926540	Bana beguen / par Tchadé et L'Orchestre Beguen-Band - Sikilu	1975	Tchadé / Orchestre Beguen Band	
214926702	RS 753	RS 753 214926702	Mobali a ko ouiller / par Tchadé et L'Orchestre Beguen-Band - Sikilu	1975	Tchadé / Orchestre Beguen Band	
214926850	RS 754	RS 754 214926850	Ya lelo suka / par Menga André et L'Orchestre Beguen-Band - Sikilu	1975	Menga, André / Orchestre Beguen Band	
214927083	RS 755	RS 755 214927083	Kiololo / par Depiano et L'Orchestre Beguen-Band - Sikilu	1975	Depiano / Orchestre Beguen Band	
214927814	RS 757	RS 757 214927814	Eyeli ngai mabe / chanté par Magnol; Tchadé et Depiano avec L'Orchestre Beguen Band - Mondule	1975	Magnol / Tchadé / Depiano / Orchestre Beguen Band	
214928047	RS 756	RS 756 214928047	Masamba osundoli ngai? / comp. et chanté par Bemi avec L'Orchestre Beguen Band - Mondule	1975	Bemi / Orchestre Beguen Band	
214928314	RS 758	RS 758 214928314	Esta nakozela yo / comp. et chanté par Jojo avec L'Orchestre Super-Negro - Mondule	1975	Jojo / Orchestre Super-Negro	
214928551	RS 759	RS 759 214928551	Congo au travail / comp. et chanté par Soudain-Magnol avec L'Orchestre Beguen Band - Mondule	1975	Magnol / Orchestre Beguen Band	
215089936	RS 701	RS 701 215089936	 / Franco et son Ensemble O.K. Jazz - Marconi	1975	Franco <Musiker> / Ganga, Edouard / Tout-Puissant OK Jazz	
215610261	RS 742	RS 742 215610261	Nazali semoba lina yo / Dr. Nico. Orchestre African Fiesta Sukisa - African	1970	Nico <Docteur> / African Fiesta	
215611071	RS 745	RS 745 215611071	Papi zala reconnaissant / Orchestre O.K. Jazz - African	1970	Simaro <Musiker> / Bitshou / Tout-Puissant OK Jazz	
215612272	RS 744	RS 744 215612272	Julie mobebisi / Didos et l'Orchestre L'Os Backy - African	1970	Robinson, Marie / Didos / Orchestre Los Backy	
215612671	RS 743	RS 743 215612671	Ebongi mona na miso / Emany et l'Orchestre L'Os Backy - African	1970	Emany / Didos / Orchestre Los Backy	
216066204	RS 825	RS 825 216066204	Rosa / Moji and The Tropicals de Kinshasa - Sonodisc	1970	Moji / Moji and The Tropicals	
216072662	RS 828	RS 828 216072662	Fideli ya baleki / Bholen et le Négro Succès - Sonodisc	1970	Bholen / Kalombo, Didi / Orchestre Negro Succes	
216078113	RS 830	RS 830 216078113	Mama na ye libindja / Bholen et Le Négro Succès - Sonodisc	1970	Bholen / Orchestre Negro Succes	
21639189X	RS 854	RS 854 21639189X	Ebandeli sukali na suka bololo / Orchestre Kin-Bantous - African	1970	Haoully, Vincent / Orchestre Kin-Bantous	
216393760	RS 855	RS 855 216393760	Jean-Jean / Verckys. Orchestre Vévé - African	1972	Matadidi, Mario / Verckys / Orchestre Veve	
216394163	RS 856	RS 856 216394163	Soco-meuble / Verckys. Orchestre Veve - African	1972	Verckys / Orchestre Veve	
216397278	RS 857	RS 857 216397278	Isia / Ange. Orchestre Super-Boboto - African	1972	Linaud, Ange / Orchestre Super-Boboto	
216397596	RS 858	RS 858 216397596	Cafouillage / Orchestre Vévé - African	1972	Orchestre Veve	
216397979	RS 859	RS 859 216397979	Marcelo Tozongana / Orchestre Vévé - African	1970	Orchestre Veve	
216463408	RS 860	RS 860 216463408	Nza imbote / Orchestre Los Backy - African	1972	Orchestre Los Backy	
216463734	RS 861	RS 861 216463734	Bati ngai na mpungu / Orchestre Los Backy - African	1971	Orchestre Los Backy	
216465168	RS 862	RS 862 216465168	Maweja Ndamina Dibonba / Orchestre Madikas - African	1971	Mulumba, Marcel / Orchestre Madikas	
21656591X	RS 863	RS 863 21656591X	Naleli Zizi / Orchestre Co-Bantu - African	1971	Orchestre Cobantou	
216566967	RS 865	RS 865 216566967	Objectif 80 / Le Seigneur Rochereau et son Afrisa - African	1972	Ley, Tabu / Tabu Ley Rochereau et l'Orchestre Afrisa International	
216567629	RS 866	RS 866 216567629	Amitié sénégalo congolaise / Le Seigneur Rochereau et son Afrisa - African	1972	Ley, Tabu / Tabu Ley Rochereau et l'Orchestre Afrisa International	
216568560	RS 867	RS 867 216568560	Baboti balembi ngai te / Orchestre Zembe-Zembe Original - African	1972	Orchestre Zembe-Zembe Original	
216571596	RS 868	RS 868 216571596	Nakobomdela bolingo / Orchestre Continental - African	1972	Josky / Mwinkwa, Tino / Orchestre Continental	
216636302	RS 875	RS 875 216636302	Volume 2 / Vicky-Rossignol ; Brazzos et l'OK Jazz. Edo et l'Orchestre O.K. Jazz.Le groupe rythmique O.K. Jazz - Pathé Marconi	1970	Longomba, Victor / Rossignol / Edo / Brazzos / Tout-Puissant OK Jazz	
216640873	RS 876	RS 876 216640873	Rumba to O.K. jazz / Franco ; De la Lune ; Vicky. Orchestre O.K. Jazz - E.M.I.	1970	Franco <Musiker> / De la Lune / Longomba, Victor / Tout-Puissant OK Jazz	
217109969	RS 882	RS 882 217109969	Ngai nayo se lilita / Orchestre Bella-Bella - 	1972	Danos / Maxime / Orchestre Bella-Bella	
217111181	RS 883	RS 883 217111181	Marie-José / Le Ry-Co Jazz. I. Kabassélé ; Freddy - Disques Debs Internat.	1975	Kabassélé, I. / Freddy, N.K. / Essous, Jean Serge / Mawa / Ry-Co Jazz	
217111475	RS 884	RS 884 217111475	Zafé Ry-co epi Thérèse : essous spiritu / Le Ry-Co Jazz. Chant Freddy ; Essous ; Mawa - Disques Debs Internat.	1975	Freddy, N.K. / Essous, Jean Serge / Mawa / Ry-Co Jazz	
217112935	RS 885	RS 885 217112935	Tumba dia n'lele / Le Ry-Co Jazz. Chant : Freddy ; Essous ; Mawa - Disques Debs Internat.	1975	Freddy, N.K. / Essous, Jean Serge / Mawa / Franco <Musiker> / Ry-Co Jazz	
21711363X	RS 886	RS 886 21711363X	On entre o.k., on sort o.k. / Orchestre O.K. Jazz. Avec Vicky ; Rossignol ; Franco ... - 	1975	Longomba, Victor / Rossignol / Franco <Musiker> / Tout-Puissant OK Jazz	
217114946	RS 880	RS 880 217114946	Nazanki tata / Orchestre les Bakuba. Seskain Molenga - African	1972	Molenga, Seskain / Dilu, José / Empire Bakuba	
217116000	RS 878	RS 878 217116000	Muenji wa bimpe : folkore / Orchestre Tout Grand Tabalay. Augustin Kandolo - African	1975	Kandolo, Augustin / Lupete, Victor / Orchestre Tout Grand Tabalay	
217116469	RS 879	RS 879 217116469	Dikenga diatondi : folkore / Orchestre Tout Grand Tabalay. Jean-Thomas Badibanga - African	1972	Badibanga, Jean-Thomas / Kasonga, Roger / Orchestre Tout Grand Tabalay	
217153704	RS 881	RS 881 217153704	Osalela ngai nini? / Orchestre Conga de la Capitale. Jean Papy - African	1972	Papy, Jean / Orchestre Conga de la Capitale	
217194699	RS 919	RS 919 217194699	Vol. 2 / Orchestra O.K. Jazz. Vicky ; Rossignol ; Franco ... - E.M.I.	1975	Franco <Musiker> / Rossignol / Tout-Puissant OK Jazz	
217197078	RS 874	RS 874 217197078	[Volume 1] / Le chanteur Edo et l'Orchestre OK Jazz ; le guitariste Franco et l'Orchestre O.K. Jazz - Pathé Marconi	1970	Edo / Franco <Musiker> / Tout-Puissant OK Jazz	
217200133	RS 877	RS 877 217200133	Nakobanza chérie / Orchestre: OK Jazz. Chant: Vicky. solo de guitare: Franco. Chant: De la Lune - Marconi	1975	Longomba, Victor / Franco <Musiker> / De la Lune / Tout-Puissant OK Jazz	
218567367	R 119	R 119 218567367	The musique of the Ba-Benzélé pygmies / Recordings, commentary and photographs by Simkha Arom in collab. with Geneviève Taurelle - Bärenreiter - Musicaphon	1972	Arom, Simha / Dournon-Taurelle, Geneviève	
218597614	R 1715	R 1715 218597614	Bantu : 1. Musique traditionnelle - 2. musique nouvelle / Centre Internationale des Civilisations Bantu [Hrsg.]. Réalisé par Charles Duvelle et Mwesa Mapoma. Div. Interpreten - CICIBA	1980	Duvelle, Charles / Mapoma, Mwesa / Moundanda, Antoine / Beebwa, John / Lembe, Yamvwa Mwa / Kakpekala, Guy Floris / Arum, Salim Ali / Ensemble Nka Mbang / Orquestra Semba Tropical / Big Gold Six Band / Orquestra Sangazuza / Orchestre Aimé Jazz / Orchestre Ngaya	
218677863	R 1711	R 1711 218677863	Munduki elelo / Les Choc Stars du Zai͏̈re - Espera	1980	Debaba el Shabab / Defao / Ndonga, Nzola / Choc Stars	
21899981X	RS 952	RS 952 21899981X	Yo okoseka baninga / Henrique Tinapa et son orchestre Rico Jazz - Ngoma	1960	Tinapa, Henrique / Rico Jazz	
219031630	RS 953	RS 953 219031630	Misele / Sammy Massamba - Safari Ambiance	1970	Massamba, Sammy	
219032262	RS 954	RS 954 219032262	Kundu / Pierre Mountouari [i.e. Pierre Moutouari] - Safari Ambiance	1970	Moutouari, Pierre	
219063133	RS 955	RS 955 219063133	Elikia : Afro Congo / Gérald Bambi ; Fidèle Babin - Safari Ambiance	1970	Bambi, Gérald / Fidel Zizi	
219350620	RS 971	RS 971 219350620	Muana Mical / Tanawa - Safari Ambiance	1975	Tanawa / Eko, Roosevelt Louis	
219376506	RS 974	RS 974 219376506	Ebongi omona na miso / K.P. Flamy et son Orchestre Jazz Beguen - Ngoma	1965	Flammy, K.P. / K. P. Flamy et Son Orchestre Jazz Beguen	
219376859	RS 975	RS 975 219376859	Votez Bika 1 / Orchestre Makosso - African	1975	Orchestre Makosso	
219831874	RS 982	RS 982 219831874	Alice / Johnny Bokelo Essenge. Orch[estre] Conga International - A.I.T. Records	1977	Bokelo, Johnny / Conga Succès	
219833095	RS 984	RS 984 219833095	Sambela Nzambe - 1 / Johnny Bokelo Essenge. Orch[estre] Conga Internationale - A.I.T. Records	1977	Bokelo, Johnny / Conga Succès	
219833656	RS 985	RS 985 219833656	Napusi kolinga - 1 / Johnny Bokelo Essenge. Orch[estre] Conga Internationale - A.I.T. Records	1977	Bokelo, Johnny / Conga Succès	
219835306	RS 986	RS 986 219835306	Kaka ngai nayo - 1 / Johnny Bokelo Essenge. Orch[estre] Conga Internationale - A.I.T. Records	1977	Bokelo, Johnny / Conga Succès	
219836515	RS 987	RS 987 219836515	Toli ya baboti - 1 / Orch. Lomeka - 	1977	Shorat / Orchestre Lomeka	
219837155	RS 988	RS 988 219837155	Mboka mopaya - 1 / Johnny Bokelo Essenge. Orch[estre] Conga Internationale - A.I.T. Records	1977	Bokelo, Johnny / Conga Succès	
22010929X	RS 1008	RS 1008 22010929X	Zaina - Part 1 / Moni Mambo - CBS (Kenya)	1979	Monimambo, Jim	
220109524	RS 1009	RS 1009 220109524	Getride - Part 1 / Moni Mambo - CBS (Kenya)	1979	Monimambo, Jim	
220142416	RS 1011	RS 1011 220142416	A.Z. DA - no. 1 / Orchestre T.P.O.K. Jazz. Lwambo Makiadi - African	1973	Franco <Musiker> / Tout-Puissant OK Jazz	
220145431	RS 1013	RS 1013 220145431	Tata ya Lea / Bale Bande King Joe - Safari Ambiance	1975	Bale Bande, Joe / Sika, Toroma	
22014818X	RS 1015	RS 1015 22014818X	Natikali ngai moko - 1 / Orch. Zeke Monano. Yefu - A.I.T. Records	1977	Yefu / Orchestre Zeke Monano	
221170189	RS 1123	RS 1123 221170189	Marie okoluka nini : jobs / Orchestre La Cloche - Equator Sound Studios	1971	Worrod, Charles / Orchestre La Cloche	
221171509	RS 1124	RS 1124 221171509	Nagai mwasi Anita / Les Cinq Grands - Equator Sound Studios	1971	Worrod, Charles / Cinq Grands	
221172173	RS 1125	RS 1125 221172173	Mwana ya Burundi / Madudou Samuel and Equator Sound Band - 	1970	Worrod, Charles / Madudou, Samuel / Equator Sound Band	
22117267X	RS 1126	RS 1126 22117267X	Yunia / Bijos and The All Africa Galaxie - Equator Sound Studios	1972	Worrod, Charles / Bijos / All-Africa Galaxie	
22117298X	RS 1127	RS 1127 22117298X	Bonne Année 72 / Bijos and The All Africa Galaxie - Equator Sound Studios	1972	Worrod, Charles / Bijos / All-Africa Galaxie	
221704043	RS 1155	RS 1155 221704043	Talaka : part 1 / Juwata Jazz Band. Saidi Mabera - A.I.T. Records	1970	Ahmed, Ahid / Mabera, Saidi / Juwata Jazz Band	
22199467X	RS 1174	RS 1174 22199467X	Mzee Kenyatta no. 3 / Super Mambo Jazz. Juma Mwina - A.I.T. Records	1974	Kanindo, Phares Oluoch / Mwina, Juma / Super Mambo Jazz	
22258873X	RS 1209	RS 1209 22258873X	Mabala / L'Orchestre Amical Succès Katanga - Equator Sound Studios	1969	Sycaut / Worrod, Charles / Epito, Clovis / Orchestre Amical Succès Katanga	
222588985	RS 1210	RS 1210 222588985	Camarade mabe / L'Orchestre Amical Succès Katanga - Equator Sound Studios	1969	Sycaut / Worrod, Charles / Madoudou, Samuel / Orchestre Amical Succès Katanga	
222649852	RS 1211	RS 1211 222649852	Eme mwasi ya sortie / L'Orchestre Amical Succès Katanga - Equator Sound Studios	1969	Madoudou, Samuel / Worrod, Charles / Mwelaa / Sycaut / Orchestre Amical Succès Katanga	
222650265	RS 1212	RS 1212 222650265	Kiri kiri chérie / L'Orchestre Amical Succ`s Katanga - Equator Sound Studios	1969	Madoudou, Samuel / Worrod, Charles / Sycaut / Orchestre Amical Succès Katanga	
22268156X	RS 1218	RS 1218 22268156X	Bolingo eleki diamond (love is more expensive than diamonds) : (Kiriki dance) / Alphonse Billy ; Lingomba Naye - Equator Sound Studios	1968	Billy, Alphonse / Naye, Lingomba / Worrod, Charles	
222687363	RS 1224	RS 1224 222687363	A letter to Job / Benson Simbeye & Equator Sound Band - Equator Sound Studios	1969	Worrod, Charles / Simbeye, Benson / Equator Sound Band	
223728306	RS 1297	RS 1297 223728306	Extrait show Kasanda-Nico : Excitation - Makwandungu - Ngombele / Orchestre African Fiesta Sukisa - African	1972	Nico <Docteur> / African Fiesta	
223734284	RS 1302	RS 1302 223734284	Masumu 1 / Orchestre Kiam - African	1975	Ngunga, Muzola / Orchestre Kiam	
223734691	RS 1303	RS 1303 223734691	Lemba-Lemba 1 / Orchestre Lipua-Lipua - African	1975	Malanda, Mbubi / Orchestre Lipua-Lipua	
223735272	RS 1304	RS 1304 223735272	Kumisa ngai 1 / Orchestre Bella-Bella - African	1976	Soki Vangu / Orchestre Bella-Bella	
223735477	RS 1305	RS 1305 223735477	Na welate 1 / Orchestre Bella-Bella - African	1976	Shaba Kahamba / Orchestre Bella-Bella	
223735957	RS 1306	RS 1306 223735957	Ngolela wa motema / Orchestre Super Negro - African	1968	Pierrot, Don / Orchestre Super-Negro	
223736880	RS 1310	RS 1310 223736880	Libala ya ngai na Zozo / Orchestre Negro Succes. Zozo - African	1968	Zozo Amba / Orchestre Negro Succes	
223738441	RS 1307	RS 1307 223738441	Bandoki ba profiter / Orchestre: Africa Mode Matata - African	1973	Kieya, Simon / Ngolo, Michel / Africa Mode Matata	
223856371	RS 1308	RS 1308 223856371	Mbila 1 / Orchestre Grand Pinza - African	1975	Roy, Makengo / Orchestre Grand Pinza	
