PPN	Signatur	Signatur_PPN	Product	DateCreated	Artist	
488867231	R 4875	R 4875 488867231	OK Jazz : vol. 1 / O.K. Jazz - African	1962	Franco <Musiker> / Tout-Puissant OK Jazz	
488868556	R 4872	R 4872 488868556	Mbongo / Franco et l'Orchestre T.P. OK Jazz - African	1977	Wuta Mayi / Tout-Puissant OK Jazz	
488872359	R 4874	R 4874 488872359	Vol. 4 / Franco & O.K. Jazz - EMI Pathé Marconi	1976	Franco <Musiker> / Tout-Puissant OK Jazz	
488877504	R 4867	R 4867 488877504	Le bon vieux temps de l'O.K. Jazz / OK Jazz - Edipop Production	1982	Franco <Musiker> / Tout-Puissant OK Jazz	
488889197	R 4870	R 4870 488889197	Vol. 1 / Franco et le T.P. O.K. Jazz En Còlere - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
488889685	R 4869	R 4869 488889685	Vol. 2 / Franco et le T.P. O.K. Jazz En Còlere - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
488969204	CD 2158	CD 2158 488969204	Infraction / Youlou Mabiala - Sonodisc	1998	Mabiala, Youlou / Mabiala, Youlou	
489031579	R 4886	R 4886 489031579	Franco et le T.P.O.K. Jazz à Bruxelles / Franco et le T.P.O.K. Jazz - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
489031951	R 4887	R 4887 489031951	Franco et le T.P.O.K. Jazz à Paris / Franco et le T.P.O.K. Jazz - V.I.S.A. 1980	1980	Franco <Musiker> / Tout-Puissant OK Jazz	
489083439	R 4880	R 4880 489083439	L'afrique danse avec L'Orchestre T.P.O.K. Jazz / T.P.O.K Jazz - African	1979	Tout-Puissant OK Jazz	
489084028	R 4883	R 4883 489084028	Tailleur / Franco et le T.P.O.K. Jazz - Edipop Production	1981	Franco <Musiker> / Tout-Puissant OK Jazz	
