PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
121903990	1062802179	Bokelo, Johnny	{"frontendLanguage":"de","_fulltext":{"text":"Bokelo Essenge, Jean Bokelo Essenge, Johnny Bokelo Isenge, Johnny Bokelo, J. Bokelo, Johny Demokratische Republik Kongo Dewayon Johnny Kongo (Demokratische Republik) Léopoldville Musiker Männlich Religion "},"conceptURI":"https://d-nb.info/1062802179","_standard":{"text":"Bokelo, Johnny"},"conceptName":"Bokelo, Johnny"}	028E	$B:	Bokelo, Johnny	193X-1995	
121903990	107950172X	Dewayon	{"frontendLanguage":"de","_fulltext":{"text":"Bokelo, Johnny De Wayon Demokratische Republik Kongo Ebengo Dewayon, Paul Ebengo Isenge, Paul Ebengo, Paul Kongo (Demokratische Republik) Léopoldville Musiker Männlich Orchestre Cobantou (Musikgruppe) Religion "},"conceptURI":"https://d-nb.info/107950172X","_standard":{"text":"Dewayon"},"conceptName":"Dewayon"}	028E/01	$B:	Dewayon		
121903990	3072366-8	Conga Succès (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3058819-4 (DE-588b)3059068-1 (DE-588b)3072366-8 Allgemeines, Interdisziplinäre Allgemeinwörter Bokelo, Johnny Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orch. Conga International Orch. Conga Success Orchestra Conga Orchestre Conga Orchestre Conga 68 (Musikgruppe) Orchestre Conga International Orchestre Conga Succès Orchestre Conga de la Capitale "},"conceptURI":"https://d-nb.info/3072366-8","_standard":{"text":"Conga Succès (Musikgruppe)"},"conceptName":"Conga Succès (Musikgruppe)"}	029E	$B:	Conga Succès		
121903990	3058820-0	Orchestre Cobantou (Musikgruppe)	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3058820-0 (DE-588b)3072703-0 (DE-588b)3073047-8 Allgemeines, Interdisziplinäre Allgemeinwörter Cobantou Demokratische Republik Kongo Dewayon Kongo (Demokratische Republik) Musik (Allgemeines), Musikgeschichte Musikgruppe Orchestre Co-Bantou Orchestre Congo-Bantou "},"conceptURI":"https://d-nb.info/3058820-0","_standard":{"text":"Orchestre Cobantou (Musikgruppe)"},"conceptName":"Orchestre Cobantou (Musikgruppe)"}	029E/01	$B:	Orchestre Cobantou		
121903990	3058821-2	Orchestre Vox-Negros	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3058821-2 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte "},"conceptURI":"https://d-nb.info/3058821-2","_standard":{"text":"Orchestre Vox-Negros"},"conceptName":"Orchestre Vox-Negros"}	029E/02	$B:	Orchestre Vox-Negros		
121905489	3059012-7	Orchestre Negro Succes	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3059012-7 (DE-588b)3071832-6 Allgemeines, Interdisziplinäre Allgemeinwörter Kongo (Republik) Musik (Allgemeines), Musikgeschichte Négro Succès Orchestra Négro Succès Orchestra Négro-Succès Orchestre Négro-Succès "},"conceptURI":"https://d-nb.info/3059012-7","_standard":{"text":"Orchestre Negro Succes"},"conceptName":"Orchestre Negro Succes"}	029E	$B:	Orchestre Negro Succes		
121906280	1034498649	Franco, Musiker	{"frontendLanguage":"de","_fulltext":{"text":"Bavon Marie-Marie Brüssel Demokratische Republik Kongo Grand Maître Grand Maître Franco Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) L'Okanga La Ndju Pene Luambo Makiadi Lokanga La Djo Péné, Franc̜ois Luambo Makiadi Luambo Makiadi, Franco Luambo, Franco Makiadi, Franco Luambo Makiadi, François Luambo Makiadi, Luambo Musiker Männlich Religion Sona Bata Tout-Puissant OK Jazz "},"conceptURI":"https://d-nb.info/1034498649","_standard":{"text":"Franco, Musiker"},"conceptName":"Franco, Musiker"}	028E	$B:	Franco <Musiker>	1938-1989	
121906280	3015656-7	Tout-Puissant OK Jazz	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3015656-7 Demokratische Republik Kongo Franco & OK Jazz Franco & TPOK Jazz Franco et OK Jazz Franco et TPOK Jazz Franco, Musiker Josky Katalogisierungslevel 1 Kinshasa Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe O.K. Jazz OK Jazz Orch. T.P.OK. Jazz Orchestra OK Jazz Orchestre Franco Orchestre O.K. Jazz Orchestre OK Jazz T.P. OK Jazz T.P.O.K. Jazz TPOK Jazz Tout Puissant Orchestre Kinois Jazz "},"conceptURI":"https://d-nb.info/3015656-7","_standard":{"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
121910601	134782542	Ley, Tabu	{"frontendLanguage":"de","_fulltext":{"text":"(DE-101c)310472547 (DE-588a)129065609 (DE-588a)134782542 (DE-588c)7659722-2 Allgemeines, Interdisziplinäre Allgemeinwörter Komponist Kongo (Demokratische Republik) Ley LeRochereau, Tabu Ley Rocherau, Tabu Ley Rochereau, Tabu Musiker Pascal, Tabu Personen zu Musik Rochereau Rochereau, ... Rochereau, Ley Rochereau, Tabu L. Rochereau, Tabu Ley Rochereau, Tabuley Seigneur Rocherau Seigneur Rochereau Tabu Ley Tabu, Ley Unbekannt "},"conceptURI":"https://d-nb.info/134782542","_standard":{"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
121910601	3028408-9	Afrisa International Orchestra	{"frontendLanguage":"de","_fulltext":{"text":"(DE-588b)3028408-9 Afrisa International Afrisa International de l´an 2000 Allgemeines, Interdisziplinäre Allgemeinwörter Demokratische Republik Kongo Kongo (Demokratische Republik) Kongo (Demokratische Republik)(Zaire) Musik (Allgemeines), Musikgeschichte Musikgruppe Orch. Afrisa Orchestre Afrisa International Orchestre L'International Afrisa "},"conceptURI":"https://d-nb.info/3028408-9","_standard":{"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
