PPN	Signatur	Signatur_PPN	weitere Signaturen	Objekttitel	Reihentiteltitel	"Sprachen"	Objektbeschreibung	Umfang	"Weitere Nummer (Typ)"	"Weitere Nummer (Wert)"	Datum	"Ort"	"Ort-System-ID"	Label	"Schlagwörter"	Teilsammlung (AMA)	Weitere Informationen	Merkmale	Interpret	Ereignis	"GND-URL"	"Import-Name"	"Name"	"Rolle"	"Bemerkung"
183098803	TK 1180	TK 1180 183098803		Votons sans violence / Stan Tohon ...		"und|fr"		1 Tonkassette	"Signatur"	"TK 1180"	1995	"Cotonou"	"721376"	Le Grapac II	""	2006/642				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1060870967"	"Tohon, Stan|Le Grapac II"	"Tohon, Stan|Le Grapac II"	"Beteiligte Person/Körperschaft|Musiklabel"	""
183099087	TK 1053	TK 1053 183099087		Jean 13 verset 34 : "aimez-vous les uns les autres" / Pari-Alex		"und|fr"	Enth.: Jean 13 v 34. Dady. Ekognonoumi - I'n tori. Tu m'as promis. Quartier Latin	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1053|PAP 002"	2003	"Cotonou"	"721376"	Pari-Alex Productions	"Musik|Benin|Populäre Musik"	2006/637				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1136601465|http://d-nb.info/gnd/1136601465"	"Pari-Alex|Pari-Alex|Pari-Alex Productions"	"Pari-Alex|Pari-Alex|Pari-Alex Productions"	"Komposition (von)|Interpretation (durch)|Musiklabel"	"|"
185278574	TK 1095	TK 1095 185278574		Sawa sawa ousuro / Richard Kwami Akompi		"und"	Enth.: Sawa Ousuro. Ose Obeko. Ahonfe Kae. Mind your own - Amedzro. Obi Ahoofe. Adwenbone. Bribe	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1095|-"	1999	"Accra"	"721355"	BIBINI Music Publishing	"Musik|Ghana|Populäre Musik"	2007/46				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1137065389|http://d-nb.info/gnd/1137065389|http://d-nb.info/gnd/1195731337"	"Kwami Akompi, Richard|Kwami Akompi, Richard|Helwani, Faisal|BIBINI Music Publishing"	"Kwami Akompi, Richard|Kwami Akompi, Richard|Helwani, Faisal|BIBINI Music Publishing"	"Komposition (von)|Interpretation (durch)|Produktion (von)|Musiklabel"	"||1946-2008"
185278841	TK 1097	TK 1097 185278841		I feel alright / Onipa Nua		"en|und"	Enth.: I feel alright. Auntie Rosina. Gormccna Gudu. Babungida - Anuanum Adofo. Zuda Gabati. Gantuma. Auntie Rosina (instrumental)	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur"	"TK 1097"	1990	"Accra"	"721355"	BIBINI Music Publishing	"Musik|Ghana|Populäre Musik"	2007/47				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1137271035|http://d-nb.info/gnd/1195731337"	"Nua, Onipa|Helwani, Faisal|BIBINI Music Publishing"	"Nua, Onipa|Helwani, Faisal|BIBINI Music Publishing"	"Interpretation (durch)|Arrangement (von)|Musiklabel"	"1945-|1946-2008"
185279023	TK 1094	TK 1094 185279023		All for you : E.T. Mensah King of highlife music is back again / E.T. Mensah		"und"	Enth.: All for you. Sekondi Market. E.T.Nkebo Baaya. Dofo San Brafie - Yoonabu. Ebe Tatale. Dzoyilo. Bus collector	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur"	"TK 1094"	1995	"Accra"	"721355"	BIBINI Music Publishing	"Musik|Ghana|Highlife|Populäre Musik"	2007/45	Originally recorded in 1977			Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/135697670|http://d-nb.info/gnd/135697670|http://d-nb.info/gnd/1195731337"	"Mensah, Emmanuel Tettey|Mensah, Emmanuel Tettey|Helwani, Faisal|BIBINI Music Publishing"	"Mensah, Emmanuel Tettey|Mensah, Emmanuel Tettey|Helwani, Faisal|BIBINI Music Publishing"	"Komposition (von)|Interpretation (durch)|Produktion (von)|Musiklabel"	"1919-1996|1919-1996|1946-2008"
185304443	TK 1096	TK 1096 185304443		Okoto : Highlife Festival  / Kwabena Okai		"und"	Enth.: Okoto. Car Bi Ba. Small boy. Akwankwa. Shre Wodo - Menu Wd Gya. Bro Bro Bro. Teiteh Quarshi. Ebe Aba Semini. Obiara Bewu	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1096|-"	1999	"Accra"	"721355"	Bibini Music Publishing	"Musik|Ghana|Highlife|Populäre Musik"	2007744				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1073228975|http://d-nb.info/gnd/1073228975|http://d-nb.info/gnd/1195731337"	"Okai, Kwabena|Okai, Kwabena|Helwani, Faisal|Bibini Music Publishing"	"Okai, Kwabena|Okai, Kwabena|Helwani, Faisal|Bibini Music Publishing"	"Komposition (von)|Interpretation (durch)|Produktion (von)|Musiklabel"	"||1946-2008"
185305172	TK 1098	TK 1098 185305172		Suffer head / Onipa Nua		"und"	Enth.: Nyend Nsanhwe. Kubari Mbima Soyinna. Gantuma - Aboa Akyakyere. Gye me taa-taa. Gantuma remix	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur"	"TK 1098"	1990	"Accra"	"721355"	BIBINI Music Publishing	"Musik|Ghana|Populäre Musik"	2007/53				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1137271035|http://d-nb.info/gnd/1195731337"	"Nua, Onipa|Helwani, Faisal|BIBINI Music Publishing"	"Nua, Onipa|Helwani, Faisal|BIBINI Music Publishing"	"Interpretation (durch)|Arrangement (von)|Musiklabel"	"1945-|1946-2008"
187535965	TK 1118	TK 1118 187535965		Siya / Tenin Kouyate		"und"	Enth.: Siya. Ankabain. Diata dans ben BD (Diatta dans ben BD). Sabou. Badjourou - Banaya. Alalake. Barra. Tenin djeli den. Kanou	1 Tonkassette ; Stereo	"Signatur|Verlags-Bestellnummer"	"TK 1118|004/04"	1998	"Bamako, Mali"	""	BEN BD International	""	2007/450				Veröffentlichung (musikalisches Werk)	""	"Kouyate, Tenin|BEN BD International"	"Kouyate, Tenin|BEN BD International"	"Beteiligte Person/Körperschaft|Musiklabel"	""
187536147	TK 1110	TK 1110 187536147		Jolie / Tata Diakité		"und"	Enth.: Den Missen. Kassi. Djigui ya - N'tanan ni. Djarabi. Kônô kan bora	1 Tonkassette ; Stereo ; 10x7 cm, 4 mm Band	"Signatur|Verlags-Bestellnummer"	"TK 1110|BEN K4 NDH 07"	1998	"Bamako"	"721361"	BEN.BD Production	"Musik|Mali|Populäre Musik"	2007/441				Veröffentlichung (musikalisches Werk)	"http://d-nb.info/gnd/1137650397"	"Diakité, Tata|BEN.BD Production"	"Diakité, Tata|BEN.BD Production"	"Interpretation (durch)|Musiklabel"	"1976-2003"
187536325	TK 1119	TK 1119 187536325		Dounoukan / Sali B. Diakité		"und"	Enth.: Dounoukan. Barayogon (Baroyogon). Dounouya. Djouladen - Niany djougou. Fasso djoula. Chauffeur. Bimoko ya	1 Tonkassette ; Stereo	"Signatur|Verlags-Bestellnummer"	"TK 1119|CK7 552"	1998	"Paris u.a."	"17840"	Camara Production	""	2007/451				Veröffentlichung (musikalisches Werk)	""	"Diakité, Sali B.|Camara Production"	"Diakité, Sali B.|Camara Production"	"Beteiligte Person/Körperschaft|Musiklabel"	""
