PPN	Signatur	Product	DateCreated	Artist	
480554587	R 4486	Iyole / Kamda Bongo Man - Afro-Rythmes	1981	Kanda Bongo Man	
480556288	R 4488	Na pona / Menga Mokombi - Disco Stock ; Meaux : Disco Stock Paris	1985	Mokombi, Menga / Kanda Bongo Man	
48056373X	R 4487	Marie-Laure / Missamou Faustin - Disco Stock ; [Meaux] : Disco Stock Paris	1985	Missamou, Jean-Faustin	
480566216	R 4489	Matinda / Celi-Bittsu - Sacodis	1980	Bitshou, Celi	
48071939X	R 4491	Samba Mapangala in Paris / Samba Mapalanga. Orchestre Virunga - Editions D'Ivoire	1985	Mapangala, Samba / Samba Mapangala et son Orchestre Virunga	
480723451	RS 2469	El prego de la montana / Orchestre: Cercul-Jazz - Disques africambiance	1980	Pacheco, Johnny / Boukaka, Franklin / Orchestre Cercul Jazz	
480724970	R 4496	Mama ma passa / Moro Maurice, Diane Solo et the Best du Zaïre - Tangent	1983	Maduma, Moro Beya / Diane Solo / Best du Zaire	
480728747	R 4490	Zaire / La "Mus" Africa - Sacodis	1980	La "Mus" Africa	
480798486	R 4497	N'guessan motema / Diane Solo, Moro Maurice & The Best - AS Record's	1983	Maduma, Moro Beya / Diane Solo / Best du Zaire	
480799792	R 4498	Nawé / Tsala Muana & Bibi Den's Tshibayi - Société Ivoirenne du Disque (S.I.D.)	1984	Tshibayi, Bibi Den's / Kouyaté, Fodé / Muana, Tshala	
480803137	R 4499	Aminata / Moro Maurice Beya - Disco Stock	1982	Maduma, Moro Beya / The Best Ambiance De Kinshasa	
480804915	R 4501	Rachid King in U.S.A. / Rachid King - Makossa International Records Inc.	1979	Rachid King / Rachid King	
48081564X	R 4502	African Fiesta : 1962-1963 / Depuissant, Dechaud, Izeidi, Mujos, Rochereau - African	1986	African Fiesta	
480820465	R 4503	Les stars des années 50 / Roitelet, Roger, Victor, Franco, Marcelle Fylla, Les Trois Caballeros et Salvador - African	1986		
480821925	R 4504	Les Maquisards et Sam Mangwana - African	1986	Mangwana, Sam / Orchestre Les Grands Maquisards	
480823634	R 4505	African Fiesta  : 1962-1963 / Nico, Rochereau, Izeidi - African	1986	Nico <Docteur> / Ley, Tabu / Izeidi, Roger	
480867852	R 4506	Sam et Guvano accompagnés par l'Orchestre Festival des Marquisards - Ngoma	1973	Moreno, Sam / Guvano / Orchestre Les Grands Maquisards	
480870780	R 4507	Congo / Archives Radiophoniques, Pays du monde (avec la collaboration de Radio Congo) - Radio France internationale (RFI)	1986	Archives Radiophoniques / Radio Télévision Congolaise	
483047740	TK 2018	Scola / Maquis Original - [Verlag nicht ermittelbar]	1995	Orchestra Maquis Original	
483047767	TK 2020	Zoela / Maquis Original - [Verlag nicht ermittelbar]	1995	Orchestra Maquis Original	
483047775	TK 2019	Libala makambo / Maquis Original - [Verlag nicht ermittelbar]	1995	Orchestra Maquis Original	
483047813	TK 2017	Ossa / Maquis Original - [Verlag nicht ermittelbar]	1995	Orchestra Maquis Original	
483072486	CD 2255	Testament ya bowule / Simaro Massiya Lutumba - Ngoyarto	1989	Simaro <Musiker>	
483072591	CD 2254	Mandola / Simaro Massiya Lutumba - Ngoyarto	1989	Simaro <Musiker>	
483072702	CD 2253	Okozela trop / Simaro Massiya Lutumba - Ngoyarto	1989	Simaro <Musiker>	
48307277X	CD 2252	Mabele (Ntoto) / Simaro Massiya Lutumba - Ngoyarto	1989	Simaro <Musiker>	
484209558	CD 2257	La roue de la chanson / [Diverse Interpret*innen] - Sonodisc	1993		
484212729	CD 2259	Bankolo miziki les pionniers de la musique congolaise de Leopoldville & Kinshasa. Anthologie volume 2 / [Verschiedene Interpret*innen] - Ngoyarto	1998		
484212893	CD 2260	Bankolo miziki les pionniers de la musique congolaise de Leopoldville & Kinshasa. Anthologie volume 1 / [Diverse Interpret*innen] - Ngoyarto	1998		
484665499	CD 2256	Le premier cosmonaute / Kyat-Hend Dittmann et l’Orchestre Kilimandjaro - Shava Music	1995	Dittmann, Kyat-Hend / Dittmann, Kyat-Hend / Groupe Kilimandjaro	
484668439	CD 2266	Kebo beat / Tabu Ley Rochereau - Sonima Music	1997	Ley, Tabu	
484669680	CD 2267	Bopol. Syran, Baby pancake, Aba! / Tabu Ley Rochereau - Sonodisc	1994	Ley, Tabu	
484956418	CD 2269	Tant pis pour toi / Abby Surya - Tamaris	1993	Surya, Abby	
484960687	CD 2271	Chérie bondowe : 1975, 1980 the best of volume 1 / Mayaula Mayoni - Esperance/Sonodisc	1996	Mayaula Mayoni / Mayaula Mayoni	
484962116	CD 2273	Adama Coly / 4 Etoiles - Lusafrica	1995	Quatres Étoiles - Four Stars	
484962825	CD 2274	Brakka / So Kalmery - CBS Disques S.A.	1990	Kalmery, So / Kalmery, So	
484962973	CD 2275	Maïka Munan / Maïka Munan - Sonodisc	1989	Munan, Maika	
485296489	CD 2276	Welcome to South Africa / Mr Kanda Bongo Man - 	1988	Kanda Bongo Man / Kanda Bongo Man	
485296691	CD 2277	Tombe ditumba : musique des Luba-Shankadi du Shaba, Zaïre / Luba-Shankadi du Shaba [Diverse ungenannte Interpret*innen] - Fonti Musicali / Koninklijk Museum voor Midden-Afrika	1994		
485297043	CD 2278	Zaïre : musiques urbaines à Kinshasa / [Diverse Interpret*innen] - Ocora	1987		
485299224	CD 2281	Mody / Wally Ngonda - Stern’s Africa	1995	Wally / Wally	
48530385X	CD 2286	Rumba’round Africa : Congo/Latin action from the 1960s / Ry-Co Jazz - RetroAfric	1996	Ry-Co Jazz	
48552290X	CD 2289	Bakitani / Bana O.K. - Stern’s Africa	1993	Bana OK	
485715023	R 4683	Mibali ya kala / Ya Moseka Empompo Loway Deyesse - SIC Production	1985	Loway, Empompo	
485719037	R 4684	Anita / Empompo Loway - Apia	1984	Loway, Empompo	
485746956	R 4690	Exploration / Madilu System, Mbilia Bel, Rigo Star - Kilimanjaro Int'l Productions	1989	Rigo Star / Madilu System / Bel, M'bilia	
485751003	R 4691	Bouger le coq chante / Nana & Baniel - Espera	1989	Baniel et Nana	
485777916	R 4692	Destin / Josky Kiambukuta et Madilu System - Mondjo Production	1989	Josky / Madilu System	
485779528	R 4693	Stop feu rouge / Nyboma-Madilu - Bleu Caraïbes	1989	Nyboma / Madilu System	
485786745	R 4698	1974-1978 / Tout Choc Zaïko Langa Langa - Bakunde Ilo Productions	1985	Pablo, Bakunde Ilo / Zaïko Langa Langa	
485789256	R 4699	Majolina / Gina Le Poete du Clan Langa-Langa - Not on Label	1982	Gina-wa-Gina	
485823462	R 4701	Jardin abandonne / Carlito et Debaba - Gina Kiaku Production	1988	Carlito / Debaba el Shabab	
487137450	R 4738	L'Afrique danse avec l'Orchestre Isifi - l'Orchestre Ba La Joie - l'Orchestre Viva La Musica - l'Orchestre Maillot Jaune / Verschiedene Interpreten - African	1978	Olomidé, Koffi / Yenga-Yenga, Junior / Orchestre Isifi / Orchestre Ba La Joie / Viva la Musica / Orchestre Maillot Jaune	
