PPN	Signatur_PPN	Pk dB Range	Objekttitel	Objektbeschreibung	Umfang	Weitere Nummer (Signatur)	Weitere Nummer (Verlagsnr.)	Datum	Ort	Label	Schlagwörter	Teilsammlung (AMA)	Weitere Informationen	GND-ID (1.)	Kategorie (1.)	Rolle (1.)	Name (1.)	Bemerkung (1.)	GND-ID (2.)	Kategorie (2.)	Rolle (2.)	Name (2.)	Bemerkung (2.)	GND-ID (3.)	Kategorie (3.)	Rolle (3.)	Name (3.)	Bemerkung (3.)	GND-ID (4.)	Kategorie (4.)	Rolle (4.)	Name (4.)	Bemerkung (4.)	GND-ID (5.)	Kategorie (5.)	Rolle (5.)	Name (5.)	Bemerkung (5.)	GND-ID (6.)	Kategorie (6.)	Rolle (6.)	Name (6.)	Bemerkung (6.)	GND-ID (7.)	Kategorie (7.)	Rolle (7.)	Name (7.)	Bemerkung (7.)	etc.	
122025873	R 2048 122025873	-8.28 / -8.83	Pitié / Tabu Ley & l'Orchestre Afrisa	Enth.:  Pitié. Mongali. Londende. Felie. Objectif 80. Cassius Clay. Amitié Sénégalo Congolaise. Mathinda-Mathi	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2048	360.040 B	1972	[S.l.], Paris	African, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/265		134782542	028E		Ley, Tabu	1940-2013	3028408-9	029E		Afrisa International Orchestra		
122025903	R 2049 122025903	-9.05 / -9.06	Sarah / Seigneur Tabu Ley avec l'Orchestre Afrisa International	Enth.: Sarah. Bwale. Tu as dis que. Residence Marina	1 Schallpl. ; 33 UpM ; 30 cm	R 2049	GEN 113	1984	[Brazzaville], Paris	Genidia, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/264	Matrix-Nr.: AM MPO N° 113 A;AM MPO N° 113 B	134782542	028E		Ley, Tabu	1940-2013	3028408-9	029E		Afrisa International Orchestra		
122026195	R 2051 122026195	-8.04 / -8.13	Dr. Nico et les Redoutables aux USA / Dr. Nico & Les Redoutables	Enth.: Aimons les vieux. Qui est sérieux. Liberté de choix. Lomé loningisa	1 Schallpl. ; 33 UpM ; 30 cm	R 2051	ANS 8412	1985	Lomé	Africa New Sound	Musik, Kongo, Populäre Musik	2004/261	Matrix-Nr.:WNL-410-A;WNL-410-B	135147484	028E		Nico <Docteur>	1939-1985	3058937-X	029E		Redoutables		
122026543	R 2035 122026543	-10.24 / -9.97	Massengo malingi yo / Trio Madjesi et Orchestre Sosoliso (avec la participation d'Air Zaire)	Enth.: Massengo malingi yo. Madjesi. Buteur. Penalty. Sosoliso na Sosoliso 1er. Sosoliso na Sosoliso 2e. Bilingage. Obosani ba voyages	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2035	360.043	1973	Paris	African	Musik, Kongo, Populäre Musik	2004/260	Auf Platten-Cover als Vol. 1 bezeichnet (nachfolg. Vols. sind nicht erschienen)	3059061-9	029E		Trio Madjesi		3058938-1	029E/01		Orchestre Sosoliso		
122026683	R 2052 122026683	-10.38 / -7.79	Gigant-Afrique : the bombe atomique of Zairean music / Pépé Kallé	Enth.: Tiembe Raïd pa Moli. Cé Chalè Carnaval. Djoni Bitoto. Pon Moun Paka Bougé. Ndako ya Zeke	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2052	ORB 062	1990	London	Globe Style	Musik, Kongo, Populäre Musik	2004/258		138677433	028E		Pépé Kallé	1951-1998	3029979-2	029E		Empire Bakuba		
122050762	R 2217 122050762	-7.27 / -8.28	L'argent ne fait pas le bonheur / Pépé Kallé	Enth.: L'argent ne fait pas le bonheur. Bolimbisa. Ami ya Bomuana. Vengi. Famo. Famo (Instrumental)	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2217	KL 032, 310011	1988	Paris	Gefraco	Musik, Kongo, Populäre Musik	2004/275	Matrix-Nr.: Y.D. A2 KL 032 A EX;89-11 Y.D. B KL 032 B EX	138677433	028E		Pépé Kallé	1951-1998	
122050983	R 2194 122050983	-5.05 / -7.04	Gaia / Ray Lema	Enth.: Made in France. Ata n'dele. N'Dila. Hut of fun. Gaia. Africa mokili mobimba. Tato wa biso. Dada m'penzi. Techno dream. Nalelela	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2194	162 539 895 - 1	1990	New York	Mango (Island Records)	Musik, Kongo, Populäre Musik	2004/277		134442881	028E		Lema, Ray	1946-	
122063317	R 1862 122063317	-10.20 / -9.87	OK Jazz 1960/62 [Vol.1] / OK Jazz	Enth.: Na Banzi Zozo. Maria de mi Vida. Bolingo ya Mbongo Mabe. La Mulata Congolaisa. Olongi ya Mayi ya Bwatu. Nono Bolingo na Mujos. Na ko Banza Mama na Mwana. Sakina Jacky. Sentiment Poto Poto. Mobembo Mabe Boye	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 1862	360.124	1962	[S.l.], Paris	African, Sonodisc (Distr.)		2004/270	Matrix-Nr.: 360124 A;360124 B	1034498649	028E		Franco <Musiker>	1938-1989	3015656-7	029E		Tout-Puissant OK Jazz		
122063813	R 2037 122063813	-7.12 / -7.42	Moto Akokufa / Faya Tess - La Sirène d'eau douce	Enth.: Moto Akokufa. Sese Mwana ya yemo. Seli "Mo". Skol Eliki Nyonso	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 2037	GEN 125	1988	[S.l.], Paris	Genidia, Sonodisc (Distr.)	Musik, Kongo, Populäre Musik	2004/271	Matrix-Nr. GEN 12 5 A;GEN 125 B	134782542	028C	Dir.	Ley, Tabu	1940-2013	1074023277	028E		Tess, Faya	1966-	3028408-9	029E		Afrisa International Orchestra		
122064283	R 1858 122064283	-6.04 / -6.06	N'Gothias N'Gothias / Afi La Princesse	Enth.: Motuna. Laissez tomber. N'Gothias-N'Gothias. Nabikisa n'zoto	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 1858	8687/207	1978	[S.l.]: N'Goss Prod.		Musik, Kongo, Populäre Musik	2004/340			028E		Afi		
122065603	R 1240 122065603	-3.04 / -4.08	Je suis faché / Abeti	Enth.:Je suis faché. Lolo. Viens mon amour. Piége ya bolingo	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 1240	AM 033, BSM 999	1985	Paris	Bade Stars Music	Afrika, Musik, Kongo, Populäre Musik	54.846		1012128296	028E		Abeti	1951-1994	3058937-X	029E		Redoutables		
122308166	R 046 122308166	-2.06 / -4.79	Bibile / Abeti	Enth.: Bibile. Papi Yaka. Aziza. Abumba. Safari. Mama. Gamanbele. Fulani. Kisima. Mutoto Wangu. Nya na fesa. Masikini. Gogo. Miwela	1 Schallpl. ; 33 UpM, stereo ; 30 cm	R 046	AME 9101	1975	New York	African Music Explosion Records (Makossa Records)	Musik, Kongo, Populäre Musik	1980/1173	Matrix-Nr. AME91.01A;AME91.01B	1012128296	028A		Abeti	1951-1994	
122335422	R 2351 122335422	-2.05 / -5.82	Les Mayeno a gogo / L'orchestre T.P.O.K Jazz (Héritage de Franco) avec le Commandant Josky Kiambukuta	Enth.: Baby. Serrer-Serrer. Cheri Desis. Fariya. Ba Pensees. Kita-Mata. Minzata	1 Schallpl. ; 33 UpM, stereo	R 2351	EBS 001	1991	[S.l.], Bruxelles	Edition Masiya, E.B.S. (Distr. Europe)	Musik, Kongo, Populäre Musik	2004/356		1036118002	028E		Josky	1949-2021	3015656-7	029E		Tout-Puissant OK Jazz		
122337255	R 2036 122337255	-10.05 / -11.86	Télégramme / Trio Madjesi d'Afrique	Enth.: Télégramme. Mamie. Chateau Rouge. Mageo Micha, Télégramme. Nazareth	1 Schallpl. ; 33 UpM, stereo	R 2036	30	1980	[S.L]	Galadisk	Musik, Kongo, Populäre Musik	2004/318		3059061-9	029E		Trio Madjesi		
122339878	R 2359 122339878	-5.13 / -7.67	S.O.S. Passe Partout / Lubumbashi Stars	Enth.: SOS passe partout. Mikelina. Kaka. Kipenzi. Nachelewa Bibi. Masikini Malaika. 20ème siecle. Boipuso	1 Schallpl. ; 33 UpM ; 30 cm	R 2359	LP 70707	1994	Paris	Sonodisc	Musik, Kongo, Paris, Populäre Musik	2004/323		3059067-X	029E		Lubumbashi Stars		
