PPN	GND-ID	GND-Name	GND-JSON	Kategorie	Rolle	Name	Bemerkung	
102227535	http://d-nb.info/gnd/118575295	Lumumba, Patrice É.	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/118575295","_standard":"text":"Lumumba, Patrice É."},"conceptName":"Lumumba, Patrice É."}	028C	$B:	Lumumba, Patrice É.	1925-1961	
109708202	http://d-nb.info/gnd/3055419-6	Ngoma (Kinshasa)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3055419-6","_standard":"text":"Ngoma (Kinshasa)"},"conceptName":"Ngoma (Kinshasa)"}	029A	$B:	Ngoma		
109708237	http://d-nb.info/gnd/3055419-6	Ngoma (Kinshasa)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3055419-6","_standard":"text":"Ngoma (Kinshasa)"},"conceptName":"Ngoma (Kinshasa)"}	029A	$B:	Ngoma		
121696715	http://d-nb.info/gnd/1034498649	Franco, Musiker	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1034498649","_standard":"text":"Franco, Musiker"},"conceptName":"Franco, Musiker"}	028E	$B:	Franco <Musiker>	1938-1989	
121696715	http://d-nb.info/gnd/3015656-7	Tout-Puissant OK Jazz	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3015656-7","_standard":"text":"Tout-Puissant OK Jazz"},"conceptName":"Tout-Puissant OK Jazz"}	029E	$B:	Tout-Puissant OK Jazz		
121698912	http://d-nb.info/gnd/1074023617	Bel, M'bilia	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1074023617","_standard":"text":"Bel, M'bilia"},"conceptName":"Bel, M'bilia"}	028E	$B:	Bel, M'bilia	1959-	
121910601	http://d-nb.info/gnd/134782542	Ley, Tabu	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/134782542","_standard":"text":"Ley, Tabu"},"conceptName":"Ley, Tabu"}	028E	$B:	Ley, Tabu	1940-2013	
121910601	http://d-nb.info/gnd/3028408-9	Afrisa International Orchestra	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3028408-9","_standard":"text":"Afrisa International Orchestra"},"conceptName":"Afrisa International Orchestra"}	029E	$B:	Afrisa International Orchestra		
121912388	http://d-nb.info/gnd/1022346229	Muana, Tshala	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/1022346229","_standard":"text":"Muana, Tshala"},"conceptName":"Muana, Tshala"}	028E	$B:	Muana, Tshala	1958-	
121927938	http://d-nb.info/gnd/103434675X	Defao	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/103434675X","_standard":"text":"Defao"},"conceptName":"Defao"}	028E	$B:	Defao	1958-	
121927938	http://d-nb.info/gnd/3017839-3	Choc Stars (Musikgruppe)	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/3017839-3","_standard":"text":"Choc Stars (Musikgruppe)"},"conceptName":"Choc Stars (Musikgruppe)"}	029E	$B:	Choc Stars		
12192999X	http://d-nb.info/gnd/			028E	$B:	Monsieur Jaques		
12192999X	http://d-nb.info/gnd/107942735X	Lusala, Mick Jo	"frontendLanguage":"de","_fulltext":"text":"TBD"},"conceptURI":"http://d-nb.info/gnd/107942735X","_standard":"text":"Lusala, Mick Jo"},"conceptName":"Lusala, Mick Jo"}	028E/01	$B:	Lusala, Mick Jo		
